V       rozV    mA      rozmA   
0.15    1.5     1.11    1.5     
0.35    1.5     4.45    7.5     
0.51    1.5     6.3     7.5     
0.7     1.5     9.1     15          
0.85    1.5     10      15          
1.09    1.5     11      15          
1.64    3       12.7    15           
2.56    3       15      30          
2.9     3       15.8    30          
4.1     7.5     18.4    30          
5       7.5     20.4    30
6.25    7.5     23.4    30  
7.5     7.5     25.8    30
8.9     15      28.6    30  
11.4    15      33      75
13.2    15      35.5    75
15      15      38.5    75
19.1    30      44      75
22      30      47.5    75
