V       rozV    mA      rozmA 
0.15    1.5     2.41    3
0.28    1.5     6.1     7.5
0.39    1.5     7.9     15
0.5     1.5     9.4     15
0.7     1.5     11.2    15
0.9     1.5     12.4    15
1.1     1.5     13.4    15
2       3       15.2    30
3       3       18.4    30
4       7.5     19.8    30
5       7.5     22.4    30
6       7.5     25      30
7.2     7.5     27.6    30
8.6     15      29.8    30
13      15      37.5    75  
14.8    15      40.5    75
19      30      45.5    75
21.8    30      49      75
