U_CE      , I_CE
14.14e-3  , 0.238
50.64e-3  , 2.139
70.92e-3  , 4.041
101.84e-3 , 7.615
0.11958   , 9.511
0.13511   , 10.846
0.14225   , 11.343
0.15868   , 12.228
0.1884    , 13.113
0.2051    , 13.355
0.219     , 13.480
0.254     , 13.620
0.326     , 13.70
0.40      , 13.729
0.5501    , 13.748
0.609     , 13.754
0.8037    , 13.771
1.2062    , 13.802
1.9920    , 13.851
2.691     , 13.891
3.7031    , 13.944
4.5621    , 13.986
5.699     , 14.04
6.501     , 14.083
8.530     , 14.168
9.971     , 14.228
