U_CE       , I_CE
9.514e-3   , 0.464
12.36e-3   , 0.737
15.71e-3   , 1.086
24.113e-3  , 2.119
31.533e-3  , 3.24
41.280e-3  , 5.026
50.190e-3  , 6.977
65.242e-3  , 10.895
79.672e-3  , 15.160
96e-3      , 20.144
114.666e-3 , 25.457
0.13512    , 30.238
0.16597    , 35.074
0.19361    , 37.507
0.2274     , 39.131
0.404      , 41.770
0.603      , 42.06
0.971      , 42.228
1.286      , 42.342
2.037      , 42.567
3.123      , 42.864
4.092      , 43.118
5.0392     , 43.362
6.6802     , 43.757
8.565      , 44.220
9.920      , 44.59
