C   , U    , I     , P
1   , 49.7 , 0.021 , 0.668
1.1 , 49.7 , 0.023 , 0.826
1.2 , 49.4 , 0.024 , 0.978
1.3 , 49.3 , 0.026 , 1.107
1.4 , 49.1 , 0.027 , 1.211
1.5 , 49.0 , 0.028 , 1.291
1.6 , 49.0 , 0.029 , 1.351
1.7 , 48.9 , 0.029 , 1.391
1.8 , 48.8 , 0.029 , 1.408
1.9 , 48.7 , 0.029 , 1.421
2   , 48.7 , 0.029 , 1.436
2.1 , 48.8 , 0.029 , 1.423
2.2 , 48.8 , 0.029 , 1.427
2.3 , 48.7 , 0.029 , 1.417
2.4 , 48.7 , 0.029 , 1.405
2.5 , 48.8 , 0.029 , 1.391
2.6 , 48.9 , 0.029 , 1.382
2.7 , 48.7 , 0.029 , 1.368
2.8 , 48.8 , 0.029 , 1.360
2.9 , 48.9 , 0.028 , 1.346
3   , 49.0 , 0.028 , 1.332
4   , 48.9 , 0.027 , 1.224
5   , 49.1 , 0.026 , 1.152
6   , 49.0 , 0.026 , 1.103
7   , 49.2 , 0.025 , 1.071
8   , 49.2 , 0.025 , 1.047
9   , 49.2 , 0.025 , 1.021
10  , 49.2 , 0.025 , 1.007
