 068.10	 Ohm 	OH	 064.92	kOhm 	OH
 068.46	 Ohm 	OH	 061.86	kOhm 	OH
 068.80	 Ohm 	OH	 059.08	kOhm 	OH
 069.27	 Ohm 	OH	 055.51	kOhm 	OH
 069.72	 Ohm 	OH	 052.35	kOhm 	OH
 070.22	 Ohm 	OH	 049.00	kOhm 	OH
 070.70	 Ohm 	OH	 046.05	kOhm 	OH
 071.46	 Ohm 	OH	 041.81	kOhm 	OH
 072.35	 Ohm 	OH	 037.27	kOhm 	OH
 072.91	 Ohm 	OH	 034.60	kOhm 	OH
 073.49	 Ohm 	OH	 032.01	kOhm 	OH
 073.92	 Ohm 	OH	 030.29	kOhm 	OH
 074.55	 Ohm 	OH	 027.82	kOhm 	OH
 075.03	 Ohm 	OH	 026.10	kOhm 	OH
 075.41	 Ohm 	OH	 024.79	kOhm 	OH
 075.97	 Ohm 	OH	 023.00	kOhm 	OH
 076.47	 Ohm 	OH	 021.47	kOhm 	OH
 076.93	 Ohm 	OH	 020.23	kOhm 	OH
 077.38	 Ohm 	OH	 019.03	kOhm 	OH
 077.88	 Ohm 	OH	 017.78	kOhm 	OH
 078.60	 Ohm 	OH	 016.16	kOhm 	OH
 078.98	 Ohm 	OH	 015.37	kOhm 	OH
 079.62	 Ohm 	OH	 014.12	kOhm 	OH
 080.09	 Ohm 	OH	 013.28	kOhm 	OH
 080.73	 Ohm 	OH	 012.23	kOhm 	OH
 081.62	 Ohm 	OH	 010.92	kOhm 	OH
 082.72	 Ohm 	OH	 009.53	kOhm 	OH
 083.92	 Ohm 	OH	 008.23	kOhm 	OH
 084.57	 Ohm 	OH	 007.60	kOhm 	OH
 085.13	 Ohm 	OH	 007.10	kOhm 	OH
 085.62	 Ohm 	OH	 006.72	kOhm 	OH
 086.27	 Ohm 	OH	 006.21	kOhm 	OH
 086.80	 Ohm 	OH	 005.83	kOhm 	OH
 087.22	 Ohm 	OH	 005.56	kOhm 	OH
 087.71	 Ohm 	OH	 005.25	kOhm 	OH
 088.49	 Ohm 	OH	 004.80	kOhm 	OH
 088.81	 Ohm 	OH	 004.63	kOhm 	OH
 089.22	 Ohm 	OH	 004.42	kOhm 	OH
 089.56	 Ohm 	OH	 004.24	kOhm 	OH
 089.97	 Ohm 	OH	 004.02	kOhm 	OH
 090.56	 Ohm 	OH	 003.72	kOhm 	OH
 091.27	 Ohm 	OH	 003.42	kOhm 	OH
 092.03	 Ohm 	OH	 003.13	kOhm 	OH
 092.65	 Ohm 	OH	 002.93	kOhm 	OH
 093.56	 Ohm 	OH	 002.64	kOhm 	OH
 094.37	 Ohm 	OH	 002.42	kOhm 	OH
 094.97	 Ohm 	OH	 002.27	kOhm 	OH
 095.77	 Ohm 	OH	 002.09	kOhm 	OH
 097.54	 Ohm 	OH	 001.75	kOhm 	OH
 098.17	 Ohm 	OH	 001.65	kOhm 	OH
 098.69	 Ohm 	OH	 001.56	kOhm 	OH
 099.00	 Ohm 	OH	 001.52	kOhm 	OH
 099.94	 Ohm 	OH	 001.39	kOhm 	OH
 100.42	 Ohm 	OH	 001.33	kOhm 	OH
 101.09	 Ohm 	OH	 001.24	kOhm 	OH
 102.83	 Ohm 	OH	 001.06	kOhm 	OH
 103.37	 Ohm 	OH	 001.01	kOhm 	OH
 103.83	 Ohm 	OH	 000.97	kOhm 	OH
 104.34	 Ohm 	OH	 000.92	kOhm 	OH
 104.75	 Ohm 	OH	 000.89	kOhm 	OH
 105.46	 Ohm 	OH	 000.83	kOhm 	OH
 106.14	 Ohm 	OH	 000.79	kOhm 	OH
 106.53	 Ohm 	OH	 000.76	kOhm 	OH
 107.01	 Ohm 	OH	 000.73	kOhm 	OH
 107.74	 Ohm 	OH	 000.68	kOhm 	OH
 108.26	 Ohm 	OH	 000.66	kOhm 	OH
 109.57	 Ohm 	OH	 000.59	kOhm 	OH
 111.34	 Ohm 	OH	 000.50	kOhm 	OH
 112.33	 Ohm 	OH	 000.46	kOhm 	OH
 113.77	 Ohm 	OH	 000.41	kOhm 	OH
 114.97	 Ohm 	OH	 000.37	kOhm 	OH
 115.52	 Ohm 	OH	 000.36	kOhm 	OH
 117.30	 Ohm 	OH	 000.31	kOhm 	OH
 118.00	 Ohm 	OH	 000.30	kOhm 	OH
 118.95	 Ohm 	OH	 000.28	kOhm 	OH
 120.48	 Ohm 	OH	 000.25	kOhm 	OH
 121.01	 Ohm 	OH	 00.245	kOhm 	OH
 121.97	 Ohm 	OH	 0.2267	kOhm 	OH
 122.20	 Ohm 	OH	 0.2231	kOhm 	OH
 122.80	 Ohm 	OH	 0.2145	kOhm 	OH
 123.38	 Ohm 	OH	 0.2065	kOhm 	OH
 124.22	 Ohm 	OH	 0.1957	kOhm 	OH
 125.02	 Ohm 	OH	 0.1860	kOhm 	OH
 125.54	 Ohm 	OH	 0.1802	kOhm 	OH
 126.00	 Ohm 	OH	 0.1749	kOhm 	OH
 126.50	 Ohm 	OH	 0.1695	kOhm 	OH
 126.87	 Ohm 	OH	 0.1658	kOhm 	OH
 127.89	 Ohm 	OH	 0.1559	kOhm 	OH
 128.66	 Ohm 	OH	 0.1488	kOhm 	OH
 129.07	 Ohm 	OH	 0.1453	kOhm 	OH
 129.55	 Ohm 	OH	 0.1412	kOhm 	OH
 130.29	 Ohm 	OH	 0.1353	kOhm 	OH
 131.13	 Ohm 	OH	 0.1289	kOhm 	OH
 131.91	 Ohm 	OH	 0.1232	kOhm 	OH
 132.16	 Ohm 	OH	 0.1216	kOhm 	OH
 132.38	 Ohm 	OH	 0.1201	kOhm 	OH
 132.87	 Ohm 	OH	 0.1169	kOhm 	OH
 133.00	 Ohm 	OH	 0.1161	kOhm 	OH
