 000.07	  mA 	DC	 0.0360	   V 	DC
 000.22	  mA 	DC	 0.1354	   V 	DC
 000.35	  mA 	DC	 0.2137	   V 	DC
 000.48	  mA 	DC	 0.2912	   V 	DC
 000.50	  mA 	DC	 0.3025	   V 	DC
 000.66	  mA 	DC	 0.3920	   V 	DC
 000.88	  mA 	DC	 0.4981	   V 	DC
 001.13	  mA 	DC	 0.6047	   V 	DC
 001.44	  mA 	DC	 0.7127	   V 	DC
 001.78	  mA 	DC	 0.8053	   V 	DC
 002.31	  mA 	DC	 0.9062	   V 	DC
 003.18	  mA 	DC	 0.9984	   V 	DC
 000.12	  mA 	DC	 0.0683	   V 	DC
 000.02	  mA 	DC	 0.0023	   V 	DC
 000.08	  mA 	DC	 0.0470	   V 	DC
 000.20	  mA 	DC	 0.1191	   V 	DC
 000.31	  mA 	DC	 0.1834	   V 	DC
 000.39	  mA 	DC	 0.2332	   V 	DC
 000.49	  mA 	DC	 0.2933	   V 	DC
 000.60	  mA 	DC	 0.3529	   V 	DC
 000.73	  mA 	DC	 0.4206	   V 	DC
 000.80	  mA 	DC	 0.4564	   V 	DC
 000.91	  mA 	DC	 0.5092	   V 	DC
 001.01	  mA 	DC	 0.5525	   V 	DC
 001.58	  mA 	DC	 0.7523	   V 	DC
 002.14	  mA 	DC	 0.8756	   V 	DC
 003.15	  mA 	DC	 0.9952	   V 	DC
 004.13	  mA 	DC	 1.0434	   V 	DC
 004.87	  mA 	DC	 1.0597	   V 	DC
 005.81	  mA 	DC	 1.0663	   V 	DC
 006.79	  mA 	DC	 1.0645	   V 	DC
 008.77	  mA 	DC	 1.0497	   V 	DC
 010.56	  mA 	DC	 1.0325	   V 	DC
 012.19	  mA 	DC	 1.0173	   V 	DC
 014.64	  mA 	DC	 0.9971	   V 	DC
 016.60	  mA 	DC	 0.9839	   V 	DC
 018.31	  mA 	DC	 0.9742	   V 	DC
 020.30	  mA 	DC	 0.9649	   V 	DC
 022.71	  mA 	DC	 0.9524	   V 	DC
 024.91	  mA 	DC	 0.9478	   V 	DC
